MAP2K4	P45985
KDM5B	Q9UGL1
EZH2	Q15910
REL	Q04864
PPP4C	P60510
FLT1	P17948
SHC1	P29353
OPRD1	P41143
GPRASP1	Q5JY77
MYO1C	O00159
PDE6D	O43924
RHOB	P62745
RHOA	P61586
PAX5	Q02548
TLE4	Q04727
PAX9	P55771
KALRN	O60229
PAM	P19021
NRBF2	Q96F24
PPARA	Q07869
PIK3R3	Q92569
PIK3CA	P42336
APOA1	P02647
PDE1A	P54750
LSM8	O95777
PGD	P52209
SNX17	Q15036
SELP	P16109
PKD1	P98161
PKD2	Q13563
TRPC1	P48995
KCNA4	P22459
DLG1	Q12959
PFN2	P35080
FHOD1	Q9Y613
HUS1	O60921
PTPRB	P23467
MAGI3	Q5TCQ9
PRKAR1A	P10644
PRKAR1B	P31321
AKAP1	Q92667
FER	P16591
TMF1	P82094
MAPK1	P28482
NEK2	P51955
HABP4	Q5JVS0
NSMAF	Q92636
AR	P10275
ITGB2	P05107
PDPK1	O15530
PRKCZ	Q05513
WWC1	Q8IX03
MAF	O75444
ARHGDIG	Q99819
RHOG	P84095
CD2AP	Q9Y5K6
RAB4A	P20338
RABEP1	Q15276
RAB5A	P20339
RIN3	Q8TB24
RAB5B	P61020
RAP1A	P62834
KRIT1	O00522
RGL2	O15211
RAP1B	P61224
RAP2B	P61225
EXOC8	Q8IYI6
RALA	P11233
BRCA2	P51587
RAD51	Q06609
RAD51AP1	Q96B01
DMC1	Q14565
HBP1	O60381
TRAP1	Q12931
AATF	Q9NY61
THOC1	Q96FV9
RBL2	Q08999
RXRA	P19793
BRD8	Q9H0E9
ANK1	P16157
RHAG	Q02094
LMO2	P25791
KDM5A	P29375
TAL1	P17542
UPF2	Q9HAU5
RPS25	P62851
RPLP1	P05386
RPLP2	P05387
CYTH1	Q15438
ARFRP1	Q13795
TOP3B	O95985
SNRPB	P14678
SNRPA	P09012
PDZK1	Q5T2W1
SLC9A3	P48764
SLC17A1	Q14916
OBSCN	Q5VST9
SOX9	P48436
NR5A1	Q13285
NRIP1	P48552
CLU	P10909
UNC13B	O14795
STX1A	Q16623
CD27	P26842
SIVA1	O15304
FKBP1A	P62942
TGFBR1	P36897
YY1	P25490
FKBP2	P26885
ARFGEF1	Q9Y6D6
NCAPG2	Q86XI2
MYO7A	Q13402
AKAP10	O43572
TCAP	O15273
APBB1	O00213
TFCP2	Q12800
CEBPZ	Q03701
NFYB	P25208
ZEB1	P37275
DRAP1	Q14919
KAT5	Q92993
E2F1	Q01094
ATM	Q13315
ABL1	P00519
NTRK1	P04629
HRAS	P01112
HSH2D	Q96JZ2
FES	P07332
KRAS	P01116
SRC	P12931
EPHB2	P29323
TNNC1	P63316
TNNT1	P13805
TNFAIP3	P21580
TAX1BP1	Q86VP1
TP53	P04637
WWOX	Q9NZC7
CDC14A	Q9UNH5
TNFRSF1A	P19438
PSMD2	Q13200
SHC2	P98077
DDR2	Q16832
CDH1	P12830
CTNND1	O60716
CBLL1	Q75N03
ITGA1	P56199
BIN1	O00499
ITGA4	P13612
EED	O75530
FLI1	Q01543
GATA1	P15976
VHL	P40337
VBP1	P61758
JADE1	Q6IE81
XRCC1	P18887
LIG3	P49916
PNKP	Q96T60
ZNF24	P17028
ZNF174	Q15697
ZNF10	P21506
TRIM28	Q13263
TRIM24	O15164
COG5	Q9UP83
MEFV	O15553
VEZT	Q9HBM0
XPA	P23025
RPA4	Q13156
XPC	Q01831
RAD23A	P54725
CMIP	Q8IY22
TRIO	O75962
CASR	P41180
HCFC1	P51610
GABPA	Q06546
AGTR2	P50052
MTUS1	Q9ULD2
RANBP9	Q96S59
USP11	P51784
SFPQ	P23246
NONO	Q15233
PRKCI	P41743
BMX	P51813
PTPN21	Q16825
TRO	Q12816
CITED1	Q99966
ACTN3	Q08043
TBR1	Q16650
CASK	O14936
ID1	P41134
LRP2	P98164
DLG3	Q92796
ERBB4	Q15303
NCS1	P62166
IL1RAPL1	Q9NZN1
ARHGEF11	O15085
PLXNB3	Q9ULL4
UNC5A	Q6ZN44
MAGED1	Q9Y5V3
LRPPRC	P42704
UXT	Q9UBK9
SUV39H1	O43463
UBQLN2	Q9UHD9
RAB9A	P51151
RABEPK	Q7Z6M1
CTBP2	P56545
KLF8	O95600
UPF3B	Q9BZI7
TTC19	Q6DKK2
NXF3	Q9H4D5
XPO1	O14980
CDC6	Q99741
PPP2R3B	Q9Y5P8
TIMM8A	O60220
STAM	Q92783
SH3GL3	Q99963
SH3KBP1	Q96B97
DTNA	Q9Y4J8
DMD	P11532
WAS	P42768
GPHN	Q9NQX3
ARHGEF9	O43307
PQBP1	O60828
TXNL4A	P83876
WBP11	Q9Y2W2
ZFPM2	Q8WW38
F8	P00451
PHYH	O14832
SH2D1A	O60880
SLAMF1	Q13291
FMR1	Q06787
FXR1	P51114
NUFIP1	Q9UHK0
MSN	P26038
TSC1	Q92574
ARAF	P10398
ASS1	P00966
MAP2K2	P36507
COPS3	Q9UNS2
POLA1	P09884
RBMS1	P29558
RPGR	Q92834
RPGRIP1	Q96KN7
HTR2C	P28335
MPDZ	O75970
SYP	P08247
AP1G1	O43747
TAF1	P21675
UBTF	P17480
RAN	P62826
NR2C2	P49116
NCOA3	Q9Y6Q9
RNF4	P78317
NCOA4	Q13772
PAK6	Q9NQU5
RCHY1	Q96PM5
PIAS2	O75928
BPY2	O14599
SORBS1	Q9BX66
INSM1	Q01101
YAF2	Q8IY57
CBX3	Q13185
LBR	Q14739
MAPK8IP3	Q9UPT6
KLC1	Q07866
SNTB2	Q13425
BCL2L1	Q07817
AVEN	Q9NQS1
BNIP3	Q12983
RTN1	Q16799
BAX	Q07812
BCL2A1	Q16548
ABCA1	O95477
FADD	Q13158
ANKRA2	Q9H9E1
LRP2BP	Q9P2M1
DAB2	P98082
DLG2	Q15700
TAF13	Q15543
TBP	P20226
PTPN12	Q05209
PSTPIP1	O43586
PXN	P49023
TUFT1	Q9NNX1
TFIP11	Q9UBB9
PDE4DIP	Q5VU43
PDE4D	Q08499
HNF4A	P41235
NFE2L2	Q16236
TDG	Q13569
AIRE	O43918
AP1B1	Q10567
CDKN2A	Q8N726
CDKN2A	P42771
JAK3	P52333
TIAF1	O95411
STAT5A	P42229
EIF5A	P63241
RPL5	P46777
PTRH2	Q9Y3E5
AES	Q08117
TLE1	Q04724
FOXA2	Q9Y261
IL6ST	P40189
EPS8	Q12929
DVL1	O14640
FASN	P49327
CENPF	P49454
UPF1	Q92900
HIRA	P54198
NFU1	Q9UMS0
PKN2	Q16513
PTPN13	Q12923
PKP4	Q99569
DSC3	Q14574
ATXN1	P54253
COIL	P38432
PEX16	Q9Y5Y5
PEX19	P40855
NUBP1	P53384
ZNHIT3	Q15649
IARS	P41252
GARS	P41250
HTRA2	O43464
MAPK14	Q16539
DUSP10	Q9Y6W6
BBS4	Q96RK4
PCM1	Q15154
BCAR1	P56945
RAPGEF1	Q13905
PSMB5	P28074
S100A7	P31151
TRAIP	Q9BWF2
FLII	Q13045
CSTF2	P33240
SUB1	P53999
CSTF1	Q05048
XRCC2	O43543
RAD51D	O75771
MSC	O60682
ID2	Q02363
TCF12	Q99081
TCF4	P15884
PEX12	O00623
PEX5	P50542
PEX13	Q92968
ARF6	P62330
NCBP2	P52298
NCBP1	Q09161
PMF1	Q6P1K2
EIF2AK3	Q9NZJ5
IGHMBP2	P38935
DLG4	P78352
KCNJ4	P48050
NCK1	P16333
EPHB1	P54762
MINK1	Q8N4C8
RECQL	P46063
KPNA4	O00629
YAP1	P46937
PIAS1	O75925
STAT1	P42224
MAPKAPK2	P49137
S100P	P25815
KCNJ2	P63252
LY9	Q9HBG7
AP2M1	Q96CW1
TIAM1	Q13009
PTBP1	P26599
HNRNPL	P14866
IFI35	P80217
NMI	Q13287
SYN2	Q92777
KCNIP3	Q9Y2W7
TTF1	Q15361
CDKN1B	P46527
NUP50	Q9UKX7
BMPR2	Q13873
CYFIP2	Q96F07
INPPL1	O15357
NCOR2	Q9Y618
SPEN	Q96T58
CDKN1C	P49918
UGCG	Q16739
SERPINH1	P50454
UBQLN4	Q9NRR5
NEUROD1	Q13562
DCTN1	Q14203
COPB1	P53618
COPG1	Q9Y678
COPG2	Q9UBF2
MYO6	Q9UM54
DCP1A	Q9NPI6
BPTF	Q12830
MAZ	P56270
F11R	Q9Y624
TJP1	Q07157
ADAM17	P78536
NPC2	P61916
PLXNB1	O43157
BOK	Q9UMX3
LSM6	P62312
SNRPD2	P62316
SNRPD3	P62318
SNRPD1	P62314
ABCC2	Q92887
CADM1	Q9BY67
MPP3	Q13368
THOP1	P52888
CSPG4	Q6UVK1
GRIP2	Q9C0E4
RANBP1	P43487
CDC45	O75419
PTK2B	Q14289
UBQLN1	Q9UMX0
MTOR	P42345
ITGA3	P26006
SNX4	O95219
BMPR1A	P36894
SF3B4	Q15427
RGS7	P49802
HNRNPD	Q14103
HECW1	Q76N89
VPS37A	Q8NEZ2
ETV6	P41212
MYBL2	P10244
ZNF622	Q969S3
CACYBP	Q9HB71
SKP1	P63208
MAD2L1	Q13257
ESR2	Q92731
PPARG	P37231
BAG1	Q99933
HSPA8	P11142
GRB10	Q13322
GIGYF2	Q6Y7W6
PROX1	Q92786
USP7	Q93009
KHDRBS1	Q07666
RAPSN	Q13702
TFAP2C	Q92754
RIT1	Q92963
MRAS	O14807
PGR	P06401
PSMD4	P55036
RAD23B	P54727
GTF2I	P78347
THRB	P10828
PSMC5	P62195
TRAF1	Q13077
HIVEP3	Q5T1R4
SMARCD2	Q92925
RNF7	Q9UBF6
CUL5	Q93034
SETDB1	Q15047
PEX7	O00628
PEX10	O60683
SP3	Q02447
STK19	P49842
MCM6	Q14566
RFXAP	O00287
RFX5	P48382
TRAF2	Q12933
BCL2L2	Q92843
BCL2L11	O43521
STAP2	Q9UGK3
PTK6	Q13882
EXOSC6	Q5RKV6
PSMB1	P20618
DCP2	Q8IU60
IL16	Q14005
PPP1R12A	O14974
RING1	Q06587
CBX4	O00257
RAC1	P63000
RAC1	P07998
RAC2	P15153
CUL1	Q13616
TALDO1	P37837
TRPV1	Q8NER1
SYT9	Q86SS6
TACC1	O75410
YEATS4	O95619
CLNS1A	P54105
SIAH1	Q8IUQ4
KIF22	Q14807
PEG10	Q86TG7
SIAH2	O43255
ATXN7	O15265
CRX	O43186
NEDD4	P46934
UBE2D2	P62837
TTF2	Q9UNY4
ILK	Q13418
ILKAP	Q9H0C8
LIMS1	P48059
DNM2	P50570
SHANK1	Q9Y566
BLMH	Q13867
PPP2R5D	Q14738
COPS5	Q92905
CFTR	P13569
SLBP	Q14493
ERI1	Q8IV48
SCAMP1	O15126
ITSN1	Q15811
IPCEF1	Q8WWN9
CYTH2	Q99418
NR0B1	P51843
HEXIM1	O94992
RGS4	P49798
COPB2	P35606
MAP3K3	Q99759
MAP2K5	Q13163
SNAP23	O00161
SNAPIN	O95295
ARNTL	O00327
RANBP3	Q9H6Z4
GOLGA2	Q08379
GORASP2	Q9H8Y8
MAGOH	P61326
RBM8A	Q9Y5S9
ASIC3	Q9UHC3
IL1RAP	Q9NPH3
TOLLIP	Q9H0E2
PPP1R8	Q12972
EIF4A1	P60842
RND1	Q92730
ARHGAP5	Q13017
RND3	P61587
HNRNPAB	Q99729
TP63	Q9H3D4
NR1H4	Q96RI1
NCOA1	Q15788
APBA2	Q99767
CLSTN1	O94985
PRKAB1	Q9Y478
PRKAG1	P54619
PRKAG2	Q9UGJ0
PRKAB2	O43741
RGPD5	O14715
RGPD5	Q99666
TNPO1	Q92973
DNMT3A	Q9Y6K1
CDC5L	Q99459
PPL	O60437
KAZN	Q674X7
SAFB	Q15424
SAFB2	Q14151
MAPK10	P53779
MAPK11	Q15759
HDAC3	O15379
SMAD7	O15105
TRIP6	Q15654
LPAR2	Q9HBW0
LHX2	P50458
E2F6	O75461
RYBP	Q8N488
POLE2	P56282
SAP18	O00422
BTG1	P62324
PRMT1	Q99873
RNF216	Q9NWF9
TLR3	O15455
TLR4	O00206
TLR5	O60602
ENAH	Q8N8S7
ABI1	Q8IZP0
SLC31A1	O15431
SRSF7	Q16629
DUSP11	O75319
NEDD9	Q14511
SRRM2	Q9UQ35
PNN	Q9H307
MCL1	Q07820
MVD	P53602
BTAF1	O14981
FANCA	O15360
CHD4	Q14839
ARHGEF7	Q14155
FNBP1	Q96RU3
TNKS	O95271
BIRC5	O15392
AURKB	Q96GD4
TNFRSF25	Q93038
TRADD	Q15628
PABPC4	Q13310
RABIF	P47224
RIPK3	Q9Y572
RIPK1	Q13546
MYH13	Q9UKX3
MALT1	Q9UDY8
BCL10	O95999
C9ORF89	Q96LW7
AP1S1	P61966
AP1G2	O75843
AP1S2	P56377
VAMP4	O75379
AP1M1	Q9BXS5
MBD2	Q9UBB5
GPN1	Q9HCN4
MBD3L1	Q8WWY6
CHD8	Q9HCK8
HUNK	P57058
UBOX5	O94941
UBE2L3	P68036
HIC1	Q14526
SLC22A4	Q9H015
PDZK1IP1	Q13113
SLC22A12	Q96S37
DNM1L	O00429
GSK3B	P49841
CCNT2	O60583
CUL4A	Q13619
CUL2	Q13617
RAB27A	P51159
SYTL4	Q96C24
TROAP	Q12815
RGS6	P49758
DMAP1	Q9NPF5
EIF3G	O75821
TACC3	Q9Y6A5
AKAP9	Q99996
DIS3	Q9Y2L1
ZBTB17	Q13105
PLCB2	Q00722
TRPM7	Q96QT4
PLXNB2	O15031
GRHPR	Q9UBQ7
VPS37C	A5D8V6
GNA13	Q14344
AKAP3	O75969
GRAP2	O75791
GAB1	Q13480
CCNDBP1	O95273
ANAPC5	Q9UJX4
PABPC1	P11940
ITGAE	P38570
TOM1	O60784
TNIP1	Q15025
PDCD6IP	Q8WUM4
PRDX4	Q13162
CLPB	Q9H078
STK16	O75716
NAGK	Q9UJ70
NCKAP1	Q9Y2A7
GADD45G	O95257
GADD45GIP1	Q8TAE8
PACSIN2	Q9UNF0
PACSIN3	Q9UKS6
SPTBN2	O15020
KCNJ1	P48048
SLC9A3R1	O14745
UPF3A	Q9H1J1
NBL1	P41271
P4HB	P07237
TARBP2	Q15633
EEA1	Q15075
RAB22A	Q9UL26
URI1	O94763
CNKSR1	Q969H4
RASSF1	Q9NS23
PARP4	Q9UKK3
MVP	Q14764
FHL5	Q5TD97
HDAC2	Q92769
DISC1	Q9NRI5
FEZ1	Q99689
SNX9	Q9Y5X1
ADAM15	Q13444
TLR9	Q9NR96
RAB11FIP4	Q86YS3
RAB11A	P62491
IFITM2	Q01629
TRIM10	Q9UDY6
RHOQ	P17081
EXOC7	Q9UPT5
PBLD	P30039
STRAP	Q9Y3F4
XRN2	Q9H0D6
ABI3	Q9P2A4
ABI3BP	Q7Z7G0
PINX1	Q96BK5
PACSIN1	Q9BY11
TXNIP	Q9H3M7
ZBTB32	Q9Y2Y4
CSPG5	O95196
ZMYND8	Q9ULU4
TNK2	Q07912
IPO13	O94829
PAX6	P26367
PLCB1	Q9NQ66
OSTM1	Q86WC4
RGS17	Q9UGC6
RGS20	O76081
ORC6	Q9Y5N6
AP4E1	Q9UPM8
AP4B1	Q9Y6B7
CENPK	Q9BS16
SOX6	P35712
VPS11	Q9H270
N4BP1	O75113
LSM2	Q9Y333
LSM10	Q969L4
POLD2	P49005
RAB29	O14966
COL23A1	Q86Y22
KCTD3	Q9Y597
THUMPD3	Q9BV44
ECT2	Q9H8V3
PARD6A	Q9NPB6
MAP1S	Q66K74
CECR2	Q9BXF3
HEBP2	Q9Y5Z4
HSPB8	Q9UJY1
HSPB1	P04792
CCT5	P48643
THEG	Q9P2T0
PPFIA1	Q13136
GIT1	Q9Y2X7
SYNCRIP	O60506
PTPN11	Q06124
RARA	P10276
MECR	Q9BV79
UFD1L	Q92890
NPLOC4	Q8TAT6
TRIB3	Q96RU7
ATF4	P18848
ARNT2	Q9HBZ2
PARN	O95453
SPATC1L	Q9H0A9
EXOSC5	Q9NQT4
NCOA2	Q15596
GFI1	Q99684
ITCH	Q96J02
TGS1	Q96RS0
ND1	P03886
MYCBP	Q99417
MYCBPAP	Q8TBZ2
LOXL1	Q08397
FBLN5	Q9UBX5
MT2A	P02795
PRKD1	Q15139
PRKG1	Q13976
NPR1	P16066
ND2	P03891
RNF11	Q9Y3C5
EPS15	P42566
SLC9A3R2	Q15599
KCNG2	Q9UJ96
KCNB1	Q14721
DIO2	Q92813
USP33	Q8TEY7
CHD3	Q12873
TOPORS	Q9NS56
PER1	O15534
CRY1	Q16526
PER2	O15055
THAP1	Q9NVV9
PAWR	Q96IZ0
SERBP1	Q8NC51
HSF1	Q00613
SYMPK	Q92797
DTNB	O60941
KIF5A	Q12840
MCM4	P33991
LMO4	P61968
CCNE1	P24864
CUL3	Q13618
EPB41L2	O43491
GRIA1	P42261
PDZD2	O15018
CTNND2	Q9UQB3
GNG5	P63218
GNB5	O14775
GNG4	P50150
GNG3	P63215
GNG7	O60262
ARL6	Q9H0F7
ARL6IP5	O75915
PIKFYVE	Q9Y2I7
GGA2	Q9UJY4
SORT1	Q99523
EXOSC7	Q15024
ZNF496	Q96IT1
NSD1	Q96L73
ARHGAP18	Q8N392
KNSTRN	Q9Y448
EXOSC10	Q01780
PUM2	Q8TB72
NANOS1	Q8WY41
ARL6IP4	Q66PJ3
ARL6IP1	Q15041
POLR1C	O15160
POLR1D	P0DPB5
POLR1D	P0DPB6
DNAJA3	Q96EY1
RNF34	Q969K3
SYNE1	Q8NF91
ING4	Q9UNL4
COPZ1	P61923
LRRC7	Q96NW7
CNKSR2	Q8WXI2
EXOC2	Q96KP1
LIN7B	Q9HAP6
TCP10L	Q8TDR4
MXD4	Q14582
UBXN11	Q5T124
DNAJC30	Q96LL9
DXO	O77932
ZHX1	Q9UKY1
ZHX3	Q9H4I2
PHC2	Q8IXK0
ARPC5	O15511
ARPC4	P59998
NEBL	O76041
NIF3L1	Q9GZT8
THOC7	Q6I9Y2
PHACTR3	Q96KR7
PPP1CA	P62136
ATL2	Q8NHH9
ARL6IP6	Q8N6S5
ARID1B	Q8NFD5
PRPF6	O94906
TXNL4B	Q9NX01
ERC2	O15083
PPFIA4	O75335
EVL	Q9UI08
DNMBP	Q6XZF7
VPS28	Q9UK41
PKD2L1	Q9P0L9
TNNI3	P19429
TNNI3K	Q59H18
KLHL20	Q9Y2M5
TAF10	Q12962
EXOSC1	Q9Y3B2
CDK14	O94921
SEPT8	Q92599
TLK1	Q9UKI8
ASF1A	Q9Y294
ASF1B	Q9NVP2
ANKRD23	Q86SG2
GOLGA7	Q7Z5G4
GOLGA3	Q08378
CDHR2	Q9BYE9
MAST2	Q6P0Q8
SMAD2	Q15796
RASD2	Q96D21
RAB34	Q9BZG1
RAB34	P0DI83
RHEBL1	Q8TAI7
RAB38	P57729
RHOBTB1	O94844
ARHGEF7	Q14155
RPS27A	P62979
FBXO3	Q9UK99
SQSTM1	Q13501
PPP2R2D	Q66LE6
MAP2K3	P46734
NUAK2	Q9H093
UHMK1	Q8TAS1
ARHGEF6	Q15052
RGS3	P49796
LHX9	Q9NQ69
TRIM35	Q9UPQ4
WWP2	O00308
RHOJ	Q9H4E5
RHOD	O00212
ARL4D	P49703
ARHGEF1	Q92888
CDC40	O60508
IRAK2	O43187
LMO2	P25791
SMAD2	Q15796
SMAD3	P84022
RRAS2	P62070
WEE1	P30291
CLASRP	Q8N2M8
GSC	P56915
RHOG	P84095
RAB13	P51153
RAB2B	Q8WUD1
RAC2	P15153
NRAS	P01111
RAB3B	P20337
ARFRP1	Q13795
ARL5B	Q96KC2
ARHGEF11	O15085
NEK6	Q9HC98
STK35	Q8TDR2
RIPK2	O43353
CHEK1	O14757
EIF2AK4	Q9P2K8
TSSK3	Q96PN8
PBK	Q96KB5
PLK4	O00444
ILKAP	Q9H0C8
RNF14	Q9UBS8
RNF138	Q8WVD3
SMAD1	Q15797
STAT1	P42224
OCLN	Q16625
UBB	P0CG47
ITK	Q08881
AP2B1	P63010
RSPH14	Q9UHP6
APBB2	Q92870
NKIRAS1	Q9NYS0
RAB33B	Q9H082
RAB6B	Q9NRW1
GIT2	Q14161
GNA13	Q14344
ARHGAP31	Q2M1Z3
CHN2	P52757
BCR	P11274
CHN1	P15882
FBXL12	Q9NXK8
ATG16L1	Q676U5
PRPF4	O43172
CDC20	Q12834
KATNB1	Q9BVA0
NUP37	Q8NFH4
GNB3	P16520
WSB1	Q9Y6I7
PREB	Q9HCU5
WDR13	Q9H1Z4
WDR61	Q9GZS3
GNB2	P62879
FBXW5	Q969U6
CSNK2A2	P19784
CDKL1	Q00532
MKNK2	Q9HBH9
AURKB	Q96GD4
IKBKB	O14920
CDK4	P11802
DAPK2	Q9UIK4
CSNK1D	P48730
FANCL	Q9NW38
NEK8	Q86SG6
CSNK1A1	P48729
EIF2AK1	Q9BQI3
CDK14	O94921
CDK17	Q00537
CHUK	O15111
CDK6	Q00534
TGFBR1	P36897
BMPR2	Q13873
STUB1	Q9UNE7
TTC1	Q99614
ENC1	O14682
BTBD2	Q9BX70
KLHL1	Q9NR64
SKAP2	O75563
SNTG1	Q9NSN8
PLEK	P08567
PLEKHB1	Q9UF11
ARHGAP15	Q53QZ3
PARD6A	Q9NPB6
DUSP10	Q9Y6W6
DUSP6	Q16828
PPP3CC	P48454
PPP1CA	P62136
PPP6C	O00743
RNF130	Q86XS8
NOXO1	Q8NFA2
NAA20	P61599
SAMD8	Q96LT4
FKBP1B	P68106
FKBP1A	P62942
IRF7	Q92985
EFNA1	P20827
RHPN2	Q8IUC4
RTKN	Q9BST9
CDC42EP4	Q9H3Q1
STX8	Q9UNK0
RGS19	P49795
RRH	O14718
RHOA	P61586
RHOH	Q15669
